biscof,"['biskofa', 'biskof']"
siu,"['siu', 'sis']"
zahar,"['za', 'zacharias', 'zachariam']"
lioht,"['lib', 'lido']"
ward,['ward']
thoh,['tho']
furi,['furi']
thanne,"['thanne', 'thannethaz']"
gotlîh,['gote']
garo,['garo']
hut,['hus']
boto,"['boton', 'boto']"
skînan,['skonanzi']
droffenysse,['drofwanta']
thionôst,"['thinuist', 'thionot']"
bechantnusse,"['berantus', 'biduuunganthanne']"
worolt,"['worolt', 'wor']"
hengist,['hentiwola']
fora,['fora']
jung,['ju']
herza,['herza']
kind,"['kindo', 'kinthes', 'kind', 'kinde']"
duam,['duat']
manheit,"['mannezi', 'manher', 'mangeba']"
liut,"['liuti', 'liudim']"
bac,['b']
minniôn,"['minuist', 'minniu']"
meghin,"['meg', 'megines', 'megidz', 'megine']"
zam,['z']
after,"['afur', 'after']"
irren,['iru']
dannoch,"['datinu', 'dages']"
bistân,['bist']
saro,"['sarunz', 'saro']"
gisehan,"['gisehes', 'gisehemes', 'gisehente', 'gisehet']"
stantan,"['stuant', 'stontdo', 'stntn', 'stantenti']"
warî,['wari']
unz,"['uz', 'unz']"
waltant,"['waswant', 'waltant', 'wallota']"
wahsmo,['wastho']
fuaȥ,['fuar']
kemenâte,"['kwena', 'kwhemandes', 'kwheman', 'kwemnt', 'kwedentiu', 'kwedenti', 'kwementi']"
harto,"['harto', 'hato']"
gache,"['gan', 'gab', 'gao']"
erbarmên,['erstarp']
hinaht,['hina']
tobeheit,['todmit']
fuotiren,"['fultather', 'fuozi']"
weroldaldar,['woltathar']
wiskan,['wison']
kaphen,"['kwad', 'kachaium']"
ieslîch,['ili']
sigihaft,['sinthesthes']
heimortes,['heimortfirnam']
gurten,"['guatertho', 'gurt']"
giforhten,"['gihort', 'giforht', 'gikorota']"
anderswâ,"['ander', 'anderes']"
einhalp,['eina']
dara,"['daga', 'dara']"
sin,"['sinso', 'siniu']"
hi,['hi']
habe,"['habet', 'habent', 'habbe', 'habes', 'habeta']"
blitzen,['blides']
zigangan,"['zigiang', 'ziganganemo', 'zuogituon']"
irgân,['ira']
zerkennen,['zeizoskonen']
skilt,"['skalwib', 'skiltim', 'skilti', 'skulidr', 'skolt']"
einfalt,['einwaz']
zehan,['zue']
krâmer,['kwam']
namo,"['namsar', 'nam', 'namer', 'namo', 'namen', 'namon']"
rihhisôn,"['rinitso', 'rihi']"
danch,"['dagthaz', 'daz', 'danihel', 'dn']"
datmen,"['datimit', 'datithar', 'dati']"
machôn,['machonthiu']
muoter,"['muater', 'muotes', 'muoter', 'muoterseno']"
sahhan,"['sahunso', 'saar']"
wasten,['wasthen']
sus,['sus']
kruag,['kruagizi']
rahhôn,"['rachonthio', 'rhhondi']"
ofto,"['ofto', 'of']"
stuatago,"['stunto', 'stutgo']"
durst,"['duent', 'durft']"
giwirkian,['giwurtigunz']
giâmarmuod,"['gimazzodrank', 'gimartorodan']"
gidank,['gidanthie']
skerten,"['skanktuniz', 'skarpen', 'skltoten']"
waȥȥar,['wazzar']
farziohan,['fazthen']
friunt,['friunt']
frewida,['frewit']
bitten,['bistthen']
skeppian,['skenkit']
solîh,['sos']
marha,"['magja', 'mak', 'mrh']"
deste,['deta']
hera,['hera']
theist,['theist']
eowiht,"['ekordi', 'eomaer', 'euiit', 'euuit', 'euuu']"
glas,['gloss']
iowiht,"['iii', 'iono']"
skeran,['skir']
hals,['hals']
pantel,"['partgloss', 'pgnt']"
idis,"['iiisage', 'id', 'idisi']"
uper,"['uueo', 'uuir', 'uuerkn', 'uerra', 'uuer', 'uues']"
amis,['am']
unnan,"['uuanna', 'uuanan']"
piotan,"['pist', 'piutit', 'pikitrnit']"
kimachida,"['kwimisfona', 'kiuufnitdenne', 'kimrkot']"
lantscaf,"['lantskeffi', 'langobardi', 'lantskaf', 'lantskefi']"
farstantan,"['farant', 'fahant', 'fyrstant', 'fyrodant']"
unwahsan,"['uuas', 'uuasafter', 'uuesan']"
durchstrîchan,"['durftimanago', 'drizugfaltothisu']"
firnlustigo,"['firnimisni', 'fiantonbittee']"
firneman,['firnimu']
augan,"['auar', 'augidom']"
kapeotan,"['kapiutu', 'kapiut', 'kalemannekod', 'kankta']"
anti,"['anti', 'anta']"
unta,['uuanta']
ubirgangen,"['uuesangloss', 'uuordan', 'uuerdant', 'uuirditenti', 'uzgangenti', 'uuizzagon', 'uuirdig', 'uuingarte']"
sament,"['sapiens', 'sapienti', 'sapientia', 'saget']"
horo,"['homo', 'hore']"
tohter,"['toler', 'tot', 'totet']"
stôptun,"['stultus', 'stopt']"
tolaheit,['tole']
denken,"['denne', 'den', 'denner']"
stuppi,['stulti']
suntar,['sunt']
ruofan,"['romani', 'ruofurhono']"
pfarifrit,['paioarimodika']
eftha,['est']
reganôn,['romanaplus']
stâtic,['stultitia']
schmeigeln,['sapientiagloss']
irbiotan,['iiihogazi']
koufschatz,['kogita']
serpant,"['selpan', 'sera']"
de,"['de', 'demu', 'demo']"
tempel,"['temet', 'tempil', 'tempal', 'templo', 'temple']"
ipu,"['ipsum', 'ipu']"
hogazzen,['hogazta']
eo,"['ego', 'eo']"
korcodrill,"['kogitafi', 'kodalenkbibl', 'korkodrllupage']"
simbles,"['simpl', 'simbles', 'simblum']"
semergot,['semper']
fona,['fona']
selp,"['selpemo', 'selp']"
mede,['me']
ik,['ik']
gihoran,"['gihorta', 'gihorant', 'gihori', 'gihorik', 'gihorit']"
dat,['dat']
seggian,['seggen']
muot,"['muot', 'muotti']"
hiltia,"['hiltibrant', 'hiltiu', 'hilpit', 'hilh', 'hielt']"
enti,['enti']
haranscara,['hadubrantuntar']
heri,['heri']
tuom,"['tuem', 'tuoe']"
sunufatarungo,"['sunufatarungo', 'sunohiltibrant', 'sunuuntazs']"
gart,['garut']
gudea,['gudham']
sunst,"['suert', 'suntho']"
helid,"['helidos', 'heptid']"
ringan,"['ringado', 'rhngn']"
tobên,['to']
rihten,['rit']
her,['her']
herizogo,"['heroro', 'herifon']"
ferah,['ferahes']
fordoro,['frotoroher']
frage,"['fragen', 'frote', 'fraget', 'frageta']"
forhten,"['fohem', 'forhten']"
untriuwe,['uuortumhwer']
fater,"['fater', 'fter']"
wartil,['warifireo']
eddo,"['eddo', 'ed', 'edo']"
kinuok,"['knuosles', 'kinuok']"
du,['du']
ibu,['ibu']
mi,['mi']
sagên,"['sagesik', 'sagenne', 'saxones', 'sagen']"
odre,"['odre', 'ort']"
ummet,"['uuet', 'ummet']"
rind,['rmindeot']
haptband,"['hadubrant', 'haptbandum']"
gimahalen,"['gimahalta', 'gimahaltero']"
heimwartes,"['hiltibrantes', 'heribrantes', 'heimuuartes']"
sundar,"['sunudat', 'suno', 'sung']"
missewende,"['miusere', 'moyseses']"
alteri,"['alte', 'alter', 'allero', 'alle', 'altero', 'altre']"
dei,['dea']
heit,['heittu']
forn,['forn']
obphar,"['ostar', 'obpfar']"
obar,['otachres']
nidar,"['nid', 'ndr']"
miti,['miti']
sicherlîch,"['sinero', 'sineru']"
degan,['degano']
furtretan,"['furlaet', 'furtretanu', 'fuotriti']"
luttil,"['luttila', 'luto']"
sitten,['sitten']
pruch,"['prut', 'pr']"
burolang,"['burebarn', 'buozholoda', 'buolang']"
arbeit,"['arbeo', 'armenint']"
laos,['laosaher']
rant,['raet']
des,"['des', 'desa', 'desiu']"
faterlôs,"['fateres', 'fatelo', 'fatero']"
misseskiht,['minesdat']
friuntlaos,['friuntlaos']
ordenunge,"['otachreummet', 'odmuodigosto']"
tirri,['tirri']
dechisto,['dechistomiti']
drouich,"['deotrichhe', 'driu']"
at,['at']
enheine,"['enteimo', 'endimeinida', 'egieina']"
ti,['ti']
leop,['leop']
kuche,['kud']
herzenlîch,"['herkonnem', 'hpetdenner']"
mankunni,"['mannum', 'manhrusti', 'manum', 'mnkunnesm']"
wanân,['waniu']
wente,['wettu']
hintarqueman,"['hiltibrantobana', 'hiltibrantwewurt']"
aboh,['ab']
hevan,['heuane']
neo,"['neo', 'nlo']"
dana,['dana']
halt,['halt']
sippa,['sippan']
dink,['dink']
